"postcode","latitude","longitude"
"BL9 7JX",53.590879,-2.267334
"BL9 7JY",53.589779,-2.268943
"BL9 7JZ",53.585986,-2.256321
"BL9 7LA",53.584409,-2.278607
"BL9 7LB",53.590429,-2.267557
"BL9 7LD",53.600811,-2.27131
"BL9 7LE",53.600218,-2.270533
"BL9 7LF",53.596387,-2.286721
"BL9 7LH",53.597919,-2.274299
"BL9 7LJ",53.597994,-2.272864
"BL9 7LN",53.598604,-2.272623
"BL9 7LP",53.598634,-2.272324
"BL9 7LQ",53.598083,-2.273514
"BL9 7LR",53.598707,-2.270644
"BL9 7LS",53.599336,-2.270996
"BL9 7LT",53.599629,-2.269187
"BL9 7LU",53.59917,-2.269758
"BL9 7LW",53.596288,-2.286781
"BL9 7LX",53.596425,-2.271388
"BL9 7LY",53.597546,-2.272196
"BL9 7LZ",53.59671,-2.272493
"BL9 7NA",53.596103,-2.273408
"BL9 7NB",53.595884,-2.272155
"BL9 7ND",53.596042,-2.269799
"BL9 7NE",53.594939,-2.268719
"BL9 7NF",53.595656,-2.269268
"BL9 7NG",53.596817,-2.268943
"BL9 7NH",53.597723,-2.269417
"BL9 7NJ",53.597674,-2.27029
"BL9 7NL",53.599012,-2.26805
"BL9 7NN",53.597918,-2.266864
"BL9 7NP",53.593812,-2.265992
"BL9 7NQ",53.59822,-2.268392
"BL9 7NR",53.597205,-2.267963
"BL9 7NS",53.595541,-2.268436
"BL9 7NT",53.596371,-2.266414
"BL9 7NW",53.598329,-2.26791
"BL9 7NX",53.593561,-2.265674
"BL9 7NY",53.592325,-2.266932
"BL9 7NZ",53.594863,-2.262464
"BL9 7PA",53.595704,-2.259187
"BL9 7PB",53.593092,-2.266668
"BL9 7PD",53.594831,-2.267583
"BL9 7PE",53.594604,-2.265695
"BL9 7PF",53.594282,-2.264741
"BL9 7PG",53.595215,-2.265865
"BL9 7PJ",53.593544,-2.268375
"BL9 7PL",53.593458,-2.283244
"BL9 7PN",53.593737,-2.283095
"BL9 7PP",53.597643,-2.273148
"BL9 7PQ",53.594132,-2.263592
"BL9 7PR",53.59309,-2.267408
"BL9 7PS",53.596647,-2.275376
"BL9 7PT",53.597138,-2.276996
"BL9 7PU",53.596705,-2.278355
"BL9 7PW",53.59416,-2.282614
"BL9 7PX",53.594929,-2.276682
"BL9 7PY",53.596205,-2.276932
"BL9 7PZ",53.595165,-2.278765
"BL9 7QA",53.596322,-2.279967
"BL9 7QB",53.59664,-2.279518
"BL9 7QD",53.597131,-2.279806
"BL9 7QE",53.596463,-2.281146
"BL9 7QF",53.595684,-2.279887
"BL9 7QG",53.595133,-2.280911
"BL9 7QH",53.595004,-2.27922
"BL9 7QJ",53.594338,-2.279745
"BL9 7QL",53.594287,-2.277823
"BL9 7QN",53.593751,-2.277036
"BL9 7QP",53.596647,-2.2763
"BL9 7QQ",53.595224,-2.280383
"BL9 7QR",53.596849,-2.274443
"BL9 7QS",53.5965,-2.273609
"BL9 7QT",53.594575,-2.274655
"BL9 7QU",53.595428,-2.274977
"BL9 7QW",53.595243,-2.277122
"BL9 7QX",53.594069,-2.275739
"BL9 7QY",53.593144,-2.275461
"BL9 7QZ",53.594066,-2.276175
"BL9 7RB",53.595188,-2.281609
"BL9 7RD",53.60201,-2.248968
"BL9 7RF",53.600347,-2.261818
"BL9 7RG",53.599742,-2.267012
"BL9 7RH",53.600852,-2.265175
"BL9 7RJ",53.600584,-2.264146
"BL9 7RL",53.601252,-2.263213
"BL9 7RN",53.601642,-2.261554
"BL9 7RP",53.602087,-2.263657
"BL9 7RQ",53.59941,-2.266995
"BL9 7RR",53.601559,-2.262294
"BL9 7RS",53.603303,-2.262168
"BL9 7RT",53.60283,-2.260594
"BL9 7RU",53.602767,-2.260911
"BL9 7RW",53.603114,-2.262379
"BL9 7RX",53.601007,-2.259933
"BL9 7RY",53.600702,-2.259855
"BL9 7RZ",53.600634,-2.262243
"BL9 7SA",53.600158,-2.264821
"BL9 7SB",53.599737,-2.265471
"BL9 7SD",53.599994,-2.262752
"BL9 7SE",53.599053,-2.265617
"BL9 7SF",53.599377,-2.265302
"BL9 7SG",53.599441,-2.264819
"BL9 7SH",53.59924,-2.266268
"BL9 7SJ",53.599308,-2.260194
"BL9 7SL",53.599735,-2.26204
"BL9 7SN",53.600386,-2.260246
"BL9 7SP",53.599235,-2.260723
"BL9 7SQ",53.598799,-2.262715
"BL9 7SR",53.600433,-2.259355
"BL9 7SS",53.598439,-2.258708
"BL9 7ST",53.598717,-2.253948
"BL9 7SU",53.599231,-2.258396
"BL9 7SW",53.601312,-2.260237
"BL9 7TA",53.601934,-2.259636
"BL9 7TB",53.601635,-2.256491
"BL9 7TD",53.600439,-2.25562
"BL9 7TE",53.602395,-2.253305
"BL9 7TF",53.602417,-2.251917
"BL9 7TG",53.602589,-2.254847
"BL9 7TH",53.60172,-2.257849
"BL9 7TJ",53.60299,-2.253356
